feature,coefficient,absolute_coefficient
numeric__scheduled_time,-0.8332655966712494,0.8332655966712494
categorical__route_key_RT019,-0.11406189321179971,0.11406189321179971
categorical__warehouse_key_WH001,-0.11406189321179971,0.11406189321179971
categorical__route_key_RT001,0.08464497619640216,0.08464497619640216
categorical__warehouse_key_WH003,0.08464497619640216,0.08464497619640216
categorical__warehouse_key_WH006,0.04247279869869017,0.04247279869869017
categorical__route_key_RT002,0.04247279869869017,0.04247279869869017
categorical__warehouse_key_WH023,0.031173341655669335,0.031173341655669335
categorical__route_key_RT009,0.031173341655669335,0.031173341655669335
categorical__route_key_RT016,0.028942280824867855,0.028942280824867855
categorical__warehouse_key_WH014,0.028942280824867855,0.028942280824867855
categorical__route_key_RT006,0.024548011148664048,0.024548011148664048
categorical__warehouse_key_WH009,0.024548011148664048,0.024548011148664048
categorical__warehouse_key_WH020,-0.023875537219631645,0.023875537219631645
categorical__route_key_RT005,-0.023875537219631645,0.023875537219631645
categorical__route_key_RT021,0.0211658273360627,0.0211658273360627
categorical__warehouse_key_WH015,0.0211658273360627,0.0211658273360627
categorical__warehouse_key_WH005,-0.02058202592617319,0.02058202592617319
categorical__route_key_RT013,-0.02058202592617319,0.02058202592617319
categorical__route_key_RT010,-0.020150296991609064,0.020150296991609064
categorical__warehouse_key_WH002,-0.020150296991609064,0.020150296991609064
categorical__warehouse_key_WH007,0.01872387583776097,0.01872387583776097
categorical__route_key_RT020,0.01872387583776097,0.01872387583776097
categorical__route_key_RT017,0.017353543461374243,0.017353543461374243
categorical__warehouse_key_WH016,0.017353543461374243,0.017353543461374243
categorical__route_key_RT015,-0.016409905046153424,0.016409905046153424
categorical__warehouse_key_WH012,-0.016409905046153424,0.016409905046153424
categorical__route_key_RT018,0.013850228570600698,0.013850228570600698
categorical__warehouse_key_WH021,0.013850228570600698,0.013850228570600698
categorical__warehouse_key_WH018,-0.012863537480584131,0.012863537480584131
categorical__route_key_RT008,-0.012863537480584131,0.012863537480584131
numeric__profit,-0.011825286056520737,0.011825286056520737
categorical__warehouse_key_WH017,-0.010960175729078755,0.010960175729078755
categorical__route_key_RT004,-0.010960175729078755,0.010960175729078755
categorical__route_key_RT023,-0.010862547100237208,0.010862547100237208
categorical__warehouse_key_WH022,-0.010862547100237208,0.010862547100237208
numeric__order_month,-0.007631282245955258,0.007631282245955258
categorical__warehouse_key_WH019,-0.0051476930991471445,0.0051476930991471445
categorical__route_key_RT022,-0.0051476930991471445,0.0051476930991471445
categorical__warehouse_key_WH010,0.0029169205704057074,0.0029169205704057074
categorical__route_key_RT003,0.0029169205704057074,0.0029169205704057074
numeric__order_year,-0.002138785308418679,0.002138785308418679
categorical__warehouse_key_WH004,0.001978243180152663,0.001978243180152663
categorical__route_key_RT011,0.001978243180152663,0.001978243180152663
numeric__order_day_of_week,0.0010006208631291513,0.0010006208631291513
categorical__warehouse_key_WH013,0.0006611088275395786,0.0006611088275395786
categorical__route_key_RT012,0.0006611088275395786,0.0006611088275395786
categorical__route_key_RT007,0.0004806832166540475,0.0004806832166540475
categorical__warehouse_key_WH011,0.0004806832166540475,0.0004806832166540475
categorical__route_key_RT014,-0.00020974390668158406,0.00020974390668158406
categorical__warehouse_key_WH008,-0.00020974390668158406,0.00020974390668158406
numeric__sales,0.00017345320731314154,0.00017345320731314154
