date_key,full_date,day,month,quarter,year,day_of_week,is_weekend
20141201,2014-12-01,1,12,4,2014,Monday,False
20141202,2014-12-02,2,12,4,2014,Tuesday,False
20141203,2014-12-03,3,12,4,2014,Wednesday,False
20141204,2014-12-04,4,12,4,2014,Thursday,False
20141205,2014-12-05,5,12,4,2014,Friday,False
20141206,2014-12-06,6,12,4,2014,Saturday,True
20141207,2014-12-07,7,12,4,2014,Sunday,True
20141208,2014-12-08,8,12,4,2014,Monday,False
20141209,2014-12-09,9,12,4,2014,Tuesday,False
20141210,2014-12-10,10,12,4,2014,Wednesday,False
20141211,2014-12-11,11,12,4,2014,Thursday,False
20141212,2014-12-12,12,12,4,2014,Friday,False
20141213,2014-12-13,13,12,4,2014,Saturday,True
20141214,2014-12-14,14,12,4,2014,Sunday,True
20141215,2014-12-15,15,12,4,2014,Monday,False
20141216,2014-12-16,16,12,4,2014,Tuesday,False
20141217,2014-12-17,17,12,4,2014,Wednesday,False
20141218,2014-12-18,18,12,4,2014,Thursday,False
20141219,2014-12-19,19,12,4,2014,Friday,False
20141220,2014-12-20,20,12,4,2014,Saturday,True
20141221,2014-12-21,21,12,4,2014,Sunday,True
20141222,2014-12-22,22,12,4,2014,Monday,False
20141223,2014-12-23,23,12,4,2014,Tuesday,False
20141224,2014-12-24,24,12,4,2014,Wednesday,False
20141225,2014-12-25,25,12,4,2014,Thursday,False
20141226,2014-12-26,26,12,4,2014,Friday,False
20141227,2014-12-27,27,12,4,2014,Saturday,True
20141228,2014-12-28,28,12,4,2014,Sunday,True
20141229,2014-12-29,29,12,4,2014,Monday,False
20141230,2014-12-30,30,12,4,2014,Tuesday,False
20141231,2014-12-31,31,12,4,2014,Wednesday,False
20150101,2015-01-01,1,1,1,2015,Thursday,False
20150102,2015-01-02,2,1,1,2015,Friday,False
20150103,2015-01-03,3,1,1,2015,Saturday,True
20150104,2015-01-04,4,1,1,2015,Sunday,True
20150105,2015-01-05,5,1,1,2015,Monday,False
20150106,2015-01-06,6,1,1,2015,Tuesday,False
20150107,2015-01-07,7,1,1,2015,Wednesday,False
20150108,2015-01-08,8,1,1,2015,Thursday,False
20150109,2015-01-09,9,1,1,2015,Friday,False
20150110,2015-01-10,10,1,1,2015,Saturday,True
20150111,2015-01-11,11,1,1,2015,Sunday,True
20150112,2015-01-12,12,1,1,2015,Monday,False
20150113,2015-01-13,13,1,1,2015,Tuesday,False
20150114,2015-01-14,14,1,1,2015,Wednesday,False
20150115,2015-01-15,15,1,1,2015,Thursday,False
20150116,2015-01-16,16,1,1,2015,Friday,False
20150117,2015-01-17,17,1,1,2015,Saturday,True
20150118,2015-01-18,18,1,1,2015,Sunday,True
20150119,2015-01-19,19,1,1,2015,Monday,False
20150120,2015-01-20,20,1,1,2015,Tuesday,False
20150121,2015-01-21,21,1,1,2015,Wednesday,False
20150122,2015-01-22,22,1,1,2015,Thursday,False
20150123,2015-01-23,23,1,1,2015,Friday,False
20150124,2015-01-24,24,1,1,2015,Saturday,True
20150125,2015-01-25,25,1,1,2015,Sunday,True
20150126,2015-01-26,26,1,1,2015,Monday,False
20150127,2015-01-27,27,1,1,2015,Tuesday,False
20150128,2015-01-28,28,1,1,2015,Wednesday,False
20150129,2015-01-29,29,1,1,2015,Thursday,False
20150130,2015-01-30,30,1,1,2015,Friday,False
20150131,2015-01-31,31,1,1,2015,Saturday,True
20150201,2015-02-01,1,2,1,2015,Sunday,True
20150202,2015-02-02,2,2,1,2015,Monday,False
20150203,2015-02-03,3,2,1,2015,Tuesday,False
20150204,2015-02-04,4,2,1,2015,Wednesday,False
20150205,2015-02-05,5,2,1,2015,Thursday,False
20150206,2015-02-06,6,2,1,2015,Friday,False
20150207,2015-02-07,7,2,1,2015,Saturday,True
20150208,2015-02-08,8,2,1,2015,Sunday,True
20150209,2015-02-09,9,2,1,2015,Monday,False
20150210,2015-02-10,10,2,1,2015,Tuesday,False
20150211,2015-02-11,11,2,1,2015,Wednesday,False
20150212,2015-02-12,12,2,1,2015,Thursday,False
20150213,2015-02-13,13,2,1,2015,Friday,False
20150214,2015-02-14,14,2,1,2015,Saturday,True
20150215,2015-02-15,15,2,1,2015,Sunday,True
20150216,2015-02-16,16,2,1,2015,Monday,False
20150217,2015-02-17,17,2,1,2015,Tuesday,False
20150218,2015-02-18,18,2,1,2015,Wednesday,False
20150219,2015-02-19,19,2,1,2015,Thursday,False
20150220,2015-02-20,20,2,1,2015,Friday,False
20150221,2015-02-21,21,2,1,2015,Saturday,True
20150222,2015-02-22,22,2,1,2015,Sunday,True
20150223,2015-02-23,23,2,1,2015,Monday,False
20150224,2015-02-24,24,2,1,2015,Tuesday,False
20150225,2015-02-25,25,2,1,2015,Wednesday,False
20150226,2015-02-26,26,2,1,2015,Thursday,False
20150227,2015-02-27,27,2,1,2015,Friday,False
20150228,2015-02-28,28,2,1,2015,Saturday,True
20150301,2015-03-01,1,3,1,2015,Sunday,True
20150302,2015-03-02,2,3,1,2015,Monday,False
20150303,2015-03-03,3,3,1,2015,Tuesday,False
20150304,2015-03-04,4,3,1,2015,Wednesday,False
20150305,2015-03-05,5,3,1,2015,Thursday,False
20150306,2015-03-06,6,3,1,2015,Friday,False
20150307,2015-03-07,7,3,1,2015,Saturday,True
20150308,2015-03-08,8,3,1,2015,Sunday,True
20150309,2015-03-09,9,3,1,2015,Monday,False
20150310,2015-03-10,10,3,1,2015,Tuesday,False
20150311,2015-03-11,11,3,1,2015,Wednesday,False
20150312,2015-03-12,12,3,1,2015,Thursday,False
20150313,2015-03-13,13,3,1,2015,Friday,False
20150314,2015-03-14,14,3,1,2015,Saturday,True
20150315,2015-03-15,15,3,1,2015,Sunday,True
20150316,2015-03-16,16,3,1,2015,Monday,False
20150317,2015-03-17,17,3,1,2015,Tuesday,False
20150318,2015-03-18,18,3,1,2015,Wednesday,False
20150319,2015-03-19,19,3,1,2015,Thursday,False
20150320,2015-03-20,20,3,1,2015,Friday,False
20150321,2015-03-21,21,3,1,2015,Saturday,True
20150322,2015-03-22,22,3,1,2015,Sunday,True
20150323,2015-03-23,23,3,1,2015,Monday,False
20150324,2015-03-24,24,3,1,2015,Tuesday,False
20150325,2015-03-25,25,3,1,2015,Wednesday,False
20150326,2015-03-26,26,3,1,2015,Thursday,False
20150327,2015-03-27,27,3,1,2015,Friday,False
20150328,2015-03-28,28,3,1,2015,Saturday,True
20150329,2015-03-29,29,3,1,2015,Sunday,True
20150330,2015-03-30,30,3,1,2015,Monday,False
20150331,2015-03-31,31,3,1,2015,Tuesday,False
20150401,2015-04-01,1,4,2,2015,Wednesday,False
20150402,2015-04-02,2,4,2,2015,Thursday,False
